year,lap_length,position,driver_number,average_lap_time,track_temperature,pressure,rainfall,wind_speed,wind_direction,humidity,air_temperature,average_speed,session_encoded,weather_score,is_top_driver
2024,5.421,1,3,168.87368181818184,32.3,1016.3,0,2.3,58,39.0,19.0,0.03210091674223418,0,19.45,1
2024,5.421,2,4,156.127,32.3,1016.3,0,2.3,58,39.0,19.0,0.034721732948176806,0,19.45,0
2024,5.421,3,81,158.049625,32.3,1016.3,0,2.3,58,39.0,19.0,0.034299353763098145,0,19.45,0
2024,5.421,4,22,158.42469565217394,32.3,1016.3,0,2.3,58,39.0,19.0,0.03421815000296396,0,19.45,0
2024,5.421,5,14,192.0534210526316,32.3,1016.3,0,2.3,58,39.0,19.0,0.028226521403721276,0,19.45,0
2024,5.421,6,1,171.14895,32.3,1016.3,0,2.3,58,39.0,19.0,0.031674164521605305,0,19.45,0
2024,5.421,7,63,151.72708333333338,32.3,1016.3,0,2.3,58,39.0,19.0,0.03572862458635982,0,19.45,0
2024,5.421,8,16,161.35082608695652,32.3,1016.3,0,2.3,58,39.0,19.0,0.033597596811053634,0,19.45,0
2024,5.421,9,44,174.7894761904762,32.3,1016.3,0,2.3,58,39.0,19.0,0.031014453033159074,0,19.45,0
2024,5.421,10,77,191.90275000000003,32.3,1016.3,0,2.3,58,39.0,19.0,0.02824868325232442,0,19.45,1
2024,5.421,11,55,147.87724000000006,32.3,1016.3,0,2.3,58,39.0,19.0,0.03665878535466308,0,19.45,0
2024,5.421,12,11,164.22565217391303,32.3,1016.3,0,2.3,58,39.0,19.0,0.03300945941294984,0,19.45,1
2024,5.421,13,23,194.127125,32.3,1016.3,0,2.3,58,39.0,19.0,0.027925000177074687,0,19.45,1
2024,5.421,14,18,184.61800000000005,32.3,1016.3,0,2.3,58,39.0,19.0,0.02936333401943472,0,19.45,0
2024,5.421,15,24,251.6214666666666,32.3,1016.3,0,2.3,58,39.0,19.0,0.021544266758374092,0,19.45,1
2024,5.421,16,2,176.76816666666667,32.3,1016.3,0,2.3,58,39.0,19.0,0.030667286436377592,0,19.45,1
2024,5.421,17,31,185.78125,32.3,1016.3,0,2.3,58,39.0,19.0,0.029179478553406225,0,19.45,1
2024,5.421,18,10,163.88621739130437,32.3,1016.3,0,2.3,58,39.0,19.0,0.03307782732611676,0,19.45,0
2024,5.421,19,20,158.47058333333337,32.3,1016.3,0,2.3,58,39.0,19.0,0.03420824159268255,0,19.45,1
2024,5.421,20,27,145.4633076923077,32.3,1016.3,0,2.3,58,39.0,19.0,0.03726713001375446,0,19.45,0
2024,5.421,1,1,201.37375,20.8,1019.3,0,1.3,54,47.0,17.9,0.02692009261385856,5,16.549999999999997,0
2024,5.421,2,16,202.37727777777775,20.8,1019.3,0,1.3,54,47.0,17.9,0.026786604007751205,5,16.549999999999997,0
2024,5.421,3,63,200.4028125,20.8,1019.3,0,1.3,54,47.0,17.9,0.027050518564952775,5,16.549999999999997,0
2024,5.421,4,55,221.1625625,20.8,1019.3,0,1.3,54,47.0,17.9,0.024511381757932018,5,16.549999999999997,0
2024,5.421,5,11,206.60780000000003,20.8,1019.3,0,1.3,54,47.0,17.9,0.026238118793191736,5,16.549999999999997,1
